Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1974.113.1,False,True,452534,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,,13th–14th century,1200,1399,"Linen, silk, metal wrapped thread; plain weave; appliqué
","Textile: H. 14 1/2 in. (36.8 cm)
             W. 10 in. (25.4 cm)
Mount: H. 18 3/4 in. (47.6 cm)
             W. 14 3/4 in. (37.5 cm)
             D. 1 in. (2.5 cm)","Rogers Fund, 1974",Attributed to,,,,Egypt,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/452534,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
25.120.980,False,True,470948,The Cloisters,Fragment,Lintel,Catalan,,,,,,,,,,,,,,ca. 1130–40,1100,1150,Marble,Overall: 7 7/8 x 13 1/4 x 9 in. (20 x 33.7 x 22.9 cm),"The Cloisters Collection, 1925",Made in,,,,present-day France,,,,,,,Sculpture-Architectural,,http://www.metmuseum.org/art/collection/search/470948,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.95.142,False,True,652270,Drawings and Prints,Print,Portrait of Pope Urban VII in a decorative border,,,,,,Artist,,Cherubino Alberti (Zaccaria Mattia),"Italian, Borgo Sansepolcro 1553–1615 Rome",,"Alberti, Cherubino (Zaccaria Mattia)",Italian,1553      ,1615      ,1570–1615,1570,1615,Engraving,15 1/4 × 11 5/16 in. (38.7 × 28.8 cm),"Rogers Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/652270,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
83.2.172,False,True,479,American Decorative Arts,Bust,Bus,,,,,,Maker,Possibly after,Jean Martin Renaud,"French, Sarreguemines 1746–1821 Paris",,"Renaud, Jean Martin",French,1746      ,1821      ,1800–1883,1800,1883,Bronze,H. 1 7/8 in. (4.8 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/479,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.2199,False,False,280657,Photographs,Polaroid,"[Mailbox: ""27""]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,1973–74,1973,1974,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/280657,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
43.47.67,False,False,374183,Drawings and Prints,Print,Storm,,,,,,Artist|Publisher,Published by,Leah Balsham|WPA,"American, born Philadelphia, Pennsylvania 1915",,"Balsham, Leah|WPA",American,1915      ,2015      ,1939,1939,1939,Woodcut,block: 10 x 14 in. (25.4 x 35.6 cm) sheet: 11 1/2 x 14 1/2 in. (29.2 x 36.8 cm) ,"WPA New York Project, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374183,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
67.43.12,False,True,38819,Asian Art,Figure,,Pakistan (ancient region of Gandhara),,,,,,,,,,,,,,ca. 2nd century,100,250,Schist,"5 3/8 x 8 1/8 in. (13.7 x 20.6 cm)
D.  2 1/2 in. (6.4 cm)","Gift of Paul E. Manheim, 1967",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/38819,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1993.301,False,False,486246,Modern and Contemporary Art,Painting,April,,,,,,Artist,,Loren MacIver,"American, New York, New York 1909–1998 New York, New York",,"MacIver, Loren",American,1909      ,1998      ,1960,1960,1960,Oil on canvas,56 1/4 × 78 1/4 in. (142.9 × 198.8 cm),"Purchase, Maria-Gaetana Matisse Gift, 1993",,,,,,,,,,,,Paintings,"©Estate of Loren MacIver, courtesy Alexandre Gallery, New York",http://www.metmuseum.org/art/collection/search/486246,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
40.170.581,False,True,450245,Islamic Art,Fragment of a bowl,Fragment of a Bowl,,,,,,,,,,,,,,,9th–10th century,800,999,"Earthenware; reddish body, slip covered, green glaze","H. 2 3/8 in. (6 cm)
W. 1 15/16 in. (5 cm)","Rogers Fund, 1940",Excavated in,Nishapur,,,Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/450245,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.617.467.8,False,False,761103,Drawings and Prints,"Print, boxing",Jack Dempsey from Boxers Exhibits series (W467),,,,,,Publisher,,Exhibit Supply Company,,,Exhibit Supply Company,,1900      ,1971      ,ca. 1923,1923,1928,Commercial photolithograph,Sheet: 5 1/4 × 3 5/16 in. (13.4 × 8.4 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/761103,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
31.8.1,False,True,477718,Medieval Art,Coffin,Coffin,Coptic,,,,,,,,,,,,,,4th century,300,399,"Wood, paint","Overall: 16 1/2 x 70 1/4 x 20 3/4 in. (41.9 x 178.4 x 52.7 cm)
Base: 8 x 72 x 21 1/2 in. (20.3 x 182.9 x 54.6 cm)","Rogers Fund, 1931",Made in,,,Kharga Oasis,Byzantine Egypt,,,,,,,Woodwork-Miscellany,,http://www.metmuseum.org/art/collection/search/477718,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1984.1119.9,False,True,372914,Drawings and Prints,Print,"Conversations under the Statue, Luxembourg Gardens",,,,,,Artist,,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",,"Whistler, James McNeill",American,1834      ,1903      ,1893,1893,1893,"Transfer lithograph with stumping, drawn on fine-grained transfer paper; only state (Chicago); printed in black ink on machine-made, tan laid paper","Image: 6 11/16 × 6 1/16 in. (17 × 15.4 cm)
Sheet: 15 1/16 x 9 15/16 in. (38.3 x 25.2 cm)","Gift of Paul F. Walter, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/372914,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.651.894,False,False,781428,Photographs,Stereograph,"Colonial Beach, Virginia, Down the Boardwalk ",,,,,,Publisher|Artist,,Hanson E. Weaver|Unknown,,,"Weaver, Hanson E.|Unknown",,,,1860s–80s,1860,1889,Albumen silver print,Approx. 3 1/2 × 7 in. (8.9 × 17.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/781428,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
43.68,False,False,504383,Musical Instruments,Trumpet Mouthpiece,Trumpet Mouthpiece,American,,,,,,,,,,,,,,1943,1943,1943,Metal,"L.: 6.1 cm (2-1/2 in.), Diam.  2.7 cm (1-1/8 in.)","Gift of William Costello, 1943",,,,,United States,,,,,,,Aerophone-Accessories,,http://www.metmuseum.org/art/collection/search/504383,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1972.654,False,False,359371,Drawings and Prints,Book,"Sing-Song, A Nursery Rhyme Book",,,,,,Author|Illustrator|Engraver|Publisher,,Christina Georgina Rossetti|Arthur Hughes|Dalziel Brothers|George Routledge & Sons,"British, London 1830–1894 London|British, London 1832–1915 Kew Green|British, active 1839–1893|London",,"Rossetti, Christina Georgina|Hughes, Arthur|Dalziel Brothers|Routledge, George & Sons",British|British|British,1830      |1832      |1839      |1800      ,1894      |1915      |1893      |1920      ,1872,1872,1872,Illustrations: wood engravings,7 1/2 x 5 11/16 x 5/8 in. (19 x 14.5 x 1.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1972",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/359371,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
C.I.37.45.76,False,True,108078,Costume Institute,Dress,Dress,American or European,,,,,,,,,,,,,,1830s,1830,1839,cotton,,"Gift of Mrs. Albert S. Morrow, 1937",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/108078,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
36.25.1016,False,True,31413,Arms and Armor,Guarded dagger (Katar),Guarded Dagger (Katar),"Indian, Thanjavur; blade, European",,,,,,,,,,,,,,17th century,1601,1700,Steel,L. 22 in. (55.9 cm); W. 3 3/4 in. (9.5 cm); Wt. 1 lb. 9.2 oz. (714.4 g),"Bequest of George C. Stone, 1935",,Thanjavur,,Tamil Nadu,,,,,,,,Daggers,,http://www.metmuseum.org/art/collection/search/31413,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1972.573.1,False,False,260078,Photographs,Photograph,"Dusk, Berks County, Pennsylvania",,,,,,Artist,,Robert S. Walch,American,,"Walch, Robert S.",American,,,1968,1968,1968,Gelatin silver print,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1972",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/260078,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
61.135.1,False,False,3026,American Decorative Arts,Curtain tieback,Curtain Tieback,,,,,,,,,,,,,,,1880–95,1880,1895,"Brass, opaque white glass",8 x 7 1/2 in. (20.3 x 19.1 cm),"Rogers Fund, 1961",Made in,,,,England,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/3026,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1978.412.1260,False,False,311727,"Arts of Africa, Oceania, and the Americas",Crocodile figure,Crocodile Figure,Asmat people,,,,,,,,,,,,,,mid-20th century,1900,2000,Wood,H. 13 x W. 108 x D. 12 in. (33 x 274.3 x 30.5 cm),"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",,Nolato,,Papua Province (Irian Jaya),Indonesia,Casuarina coast,,,,,,Wood-Sculpture,,http://www.metmuseum.org/art/collection/search/311727,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1970.659.564,False,False,685903,Photographs,Carte-de-visite,[Jean Louis Ernest Meissonier],,,,,,Artist|Person in Photograph,Person in photograph,Robert Jefferson Bingham|Ernest Meissonier,"British, active France, 1825–70|French, Lyons 1815–1891 Paris",,"Bingham, Robert Jefferson|Meissonier, Ernest","British, active France",1825      |1815      ,1870      |1891      ,1861–1870,1861,1870,Albumen silver print,Approx. 10.2 x 6.3 cm (4 x 2 1/2 in.),"The Albert Ten Eyck Gardner Collection, Gift of the Centennial Committee, 1970",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/685903,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2015.300.196,False,True,671048,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Hine Taizan,"Japanese, 1813–1869",,Hine Taizan,,1813      ,1869      ,1859,1859,1859,Hanging scroll; ink and color on silk,"Image: 53 15/16 × 20 3/16 in. (137 × 51.3 cm)
Overall with mounting: 88 × 26 11/16 in. (223.5 × 67.8 cm)
Overall with knobs: 88 × 30 1/2 in. (223.5 × 77.5 cm)","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/671048,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
43.33.727,False,False,375118,Drawings and Prints,Print,John's Shop,,,,,,Artist|Publisher,Published by,Saul Kovner|WPA,"American, Russia 1904–1981 North Hollywood, California?",,"Kovner, Saul|WPA",American,1904      ,1981      ,1935–43,1935,1943,Lithograph,image: 12 x 15 3/4 in. (30.4 x 40 cm) sheet: 14 3/4 x 18 3/4 in. (37.5 x 47.5 cm),"Gift of the Work Projects Administration, New York, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/375118,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2016.402.106,False,False,719231,Drawings and Prints,"Baseball card, print","Card Number 392, Phil Roof, Toronto Blue Jays",,,,,,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",,Topps Chewing Gum Company,,,,1977,1977,1977,Commercial Color Lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.4 cm),"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/719231,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
39.65.26a–f,False,False,61993,Asian Art,Incense burner,,China,,,,,,,,,,,,,,19th century,1800,1899,Nephrite,H. 20 in. (50.8 cm),"Bequest of Jacob Ruppert, 1939",,,,,,,,,,,,Jade,,http://www.metmuseum.org/art/collection/search/61993,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1977.635.79,False,False,426658,Drawings and Prints,Print,Proof for White Line Square series,,,,,,Artist|Publisher|Printer,Published by|Printed by,Josef Albers|Gemini G.E.L.|Kenneth E. Tyler,"American (born Germany), Bottrop 1888–1976 New Haven, Connecticut|American, born East Chicago, Indiana, 1931",,"Albers, Josef|Gemini|Tyler, Kenneth E.","American, born Germany|American",1888      |1931      ,1976      |2031      ,1966,1966,1966,Lithograph,"Image: 15 3/4 × 15 3/4 in. (40 × 40 cm)
Sheet: 20 7/8 × 20 7/8 in. (53 × 53 cm)","Gift of Kenneth E. Tyler in memory of John J. McKendry, 1977",,,,,,,,,,,,Prints,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/426658,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
24.90.1965(5),False,False,745870,Drawings and Prints,Print,"Philadelphia Street Plan: Atlas til Friherre Klinckowströms Bref om de Förente Staterne (Atlas to accompany Baron Klinckowström's Letters Written on a Journey to the United States, 1818-20)",,,,,,Printer|Author,Relates to,"C. Müller, Stockholm|Axel Klinckowström","Swedish, 1775–1837",,"Müller, C.|Klinckowström, Axel",,1800      |1775      ,1830      |1837      ,1824,1824,1824,Lithography,Sheet: 9 3/16 × 12 11/16 in. (23.3 × 32.2 cm),"Bequest of Charles Allen Munn, 1924",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/745870,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.55.329,False,False,269437,Photographs,Photographically illustrated book,Steichen,,,,,,Artist|Editor,,Edward J. Steichen|Alfred Stieglitz,"American (born Luxembourg), Bivange 1879–1973 West Redding, Connecticut|American, Hoboken, New Jersey 1864–1946 New York",,"Steichen, Edward J.|Stieglitz, Alfred","American, born Luxembourg|American",1879      |1864      ,1973      |1946      ,1900s,1900,1909,Photogravures and halftones,,"Alfred Stieglitz Collection, 1949",,,,,,,,,,,,Books,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/269437,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
Ref.1939.7,False,False,812145,Drawings and Prints,Book,"""The Making of Straw Hats,"" in Oil-Power, A Magazine of Industrial Romances, vol. XIV, no. 5",,,,,,Author,,Socony-Vacuum Oil Company,"American, 20th century",,Socony-Vacuum Oil Company,,1900      ,1950      ,May 1939,1939,1939,Illustrations: photomechanical,9 9/16 × 7 1/16 in. (24.3 × 18 cm),"Museum Accession, 1939",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/812145,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
33.129.1a–c,False,True,4493,American Decorative Arts,Jar,Jar,Dutch,,,,,,,,,,,,,,1740–60,1740,1760,Earthenware,H. 7 3/8 in. (18.7 cm),"Gift of Mrs. Charles C. Kalbfleisch, 1933",Made in,,,,Netherlands,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/4493,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
20.148.240,False,True,71229,Asian Art,Piece,,Japan,Edo period (1615–1868),,,,,,,,,,,,,18th century,1700,1799,Silk / Compound weave,1 7/8 × 3 5/8 in. (4.8 × 9.2 cm),"Gift of Kihei Hattori, in memory of his father, Kihei Hattori, 1920",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/71229,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
65.226,False,True,436320,European Paintings,Painting,Portrait of a Young Woman,,,,,,Artist,,Jean Honoré Fragonard,"French, Grasse 1732–1806 Paris",,"Fragonard, Jean Honoré",French,1732      ,1806      ,1770s,1770,1779,Oil on canvas,"Oval, 31 3/4 x 25 in. (80.6 x 63.5 cm)","Bequest of Margaret V. Haggin, 1965",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436320,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
31.54.2,False,True,668091,Drawings and Prints,Print,"Judith with the Head of Holophernes, from Das Büchle Memorial",,,,,,Artist|Publisher|Author,,Hans Schäufelein|Heinrich Steiner|Johann von Schwartzenberg,"German, Nuremberg ca. 1480–ca. 1540 Nördlingen|German, active 1522–47|German",,"Schäufelein, Hans|Steiner, Heinrich|Schwartzenberg, Johann von",German|German|German,1480      |1522      ,1540      |1547      ,1533,1533,1533,Woodcut,Sheet: 9 7/16 × 6 5/16 in. (24 × 16 cm),"Bequest of James Clark McGuire, 1930",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/668091,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
10.146.15,False,False,218904,European Sculpture and Decorative Arts,Piece,Piece,Flemish,,,,,,,,,,,,,,18th century,1700,1799,Bobbin lace,L. 6 x W. 8 1/2 inches (15.2 x 21.6 cm),"Gift of Miss Julia Chester Wells, 1910",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/218904,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"C.I.49.57.2a, b",False,False,113160,Costume Institute,Evening slippers,Evening slippers,American,,,,,Designer,,Alfred J. Cammeyer,1849–1913,,"Cammeyer, Alfred J.",American,1875      ,1940      ,1900–1910,1900,1910,leather,,"Gift of Mrs. Robert S. Dixon, 1949",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/113160,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
55.553.175,False,False,432122,Drawings and Prints,Print,Night Symphony,,,,,,Artist,,Letterio Calapai,"American, 1902–1993",,"Calapai, Letterio",American,1902      ,1993      ,mid 20th century,1955,1955,Woodcut,"Block: 24 × 14 1/16 in. (61 × 35.7 cm)
Sheet: 24 7/8 × 17 1/2 in. (63.2 × 44.4 cm)","Dorothy Noyes Arms and John Taylor Arms Memorial Collection, Gift of The Society of American Graphic Artists Inc., 1955",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/432122,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
59.570.402(1),False,True,377621,Drawings and Prints,Print,Frontispiece for Le Véritable Plan et Pourtrait de la Maison de la Ste. Vierge,,,,,,Artist|Dedicatee,,Stefano della Bella|Susanne de St. Aulaire,"Italian, Florence 1610–1664 Florence|French",,"Bella, Stefano della|de St. Aulaire, Susanne",Italian|French,1610      ,1664      ,1649,1649,1649,Etching; second state,Sheet: 9 5/8 × 9 1/2 in. (24.5 × 24.1 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/377621,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1972.742.9,False,False,260676,Photographs,Photograph,"[Wrecked Automobile, New York]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,"ca. 1929, printed ca. 1970",1928,1930,Gelatin silver print,10.1 x 16.4 cm (4 x 6 7/16 in.),"Gift of Arnold H. Crane, 1972",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/260676,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1972.607.50(18),False,False,381514,Drawings and Prints,Print,"Perspective of the city dwelling for Mrs. Susan L. Dana, Springfield, Illinois",,,,,,Architect|Publisher,Designed by,Frank Lloyd Wright|Ernst Wasmuth,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona|Berlin",,"Wright, Frank Lloyd|Wasmuth, Ernst",American|German,1867      |1872      ,1959      |1999      ,1910,1910,1910,Lithographic print with dark grey ink with grey wash,"sheet: 25 1/8 x 15 7/8 in. (63.8 x 40.3 cm)
mount: 22 x 28 in. (55.9 x 71.1 cm)","Purchase, Emily Crane Chadbourne Bequest, 1972",,Berlin,,,,,,,,,,Prints,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/381514,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
